file,finding_key,finding_title,finding_id,severity,detection_rate,detections,n_runs,ci_lo_95,ci_hi_95,conf_mean,conf_std,conf_min,conf_max,source_hyp_ids,stable,gate_pass,gate_fail,gate_needs_human,gate_consistency
WebGoat_LoginPage.aspx.designer.cs,missing authorization check for admin functionality|High,Missing Authorization Check for Admin Functionality,,High,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-002,yes,0,0,10,1.0000
WebGoat_ProxySetup.aspx.cs,potential xss vulnerability via txtname text input|Medium,Potential XSS Vulnerability via txtName.Text Input,,Medium,0.6000,6,10,0.3127,0.8318,0.9000,0.0000,0.9000,0.9000,HYP-002; HYP-005,no,0,0,10,1.0000
WebGoat_ProxySetup.aspx.cs,misuse of string reversal functionality|Medium,Misuse of String Reversal Functionality,,Medium,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-001; HYP-006,yes,0,0,10,1.0000
WebGoat_ProxySetup.aspx.designer.cs,potential command injection via textbox input|High,Potential Command Injection via TextBox Input,,High,0.4000,4,10,0.1682,0.6873,0.3000,0.0000,0.3000,0.3000,HYP-001,no,0,4,6,0.6000
WebGoat_ProxySetup.aspx.designer.cs,missing authorization check on sensitive operation|High,Missing Authorization Check on Sensitive Operation,,High,0.4000,4,10,0.1682,0.6873,0.3000,0.0000,0.3000,0.3000,HYP-002,no,0,4,6,0.6000
WebGoat_ProxySetup.aspx.designer.cs,hardcoded configuration values in ui controls|Medium,Hardcoded Configuration Values in UI Controls,,Medium,0.4000,4,10,0.1682,0.6873,0.4000,0.0000,0.4000,0.4000,HYP-003,no,0,4,6,0.6000
WebGoat_Web.config,hardcoded user credentials in clear text|Critical,Hardcoded Credentials in Clear Text,,Critical,1.0000,10,10,0.7225,1.0000,0.9400,0.0516,0.9000,1.0000,HYP-001,yes,0,10,0,1.0000
WebGoat_Web.config,insecure session cookie configuration|Medium,Insecure Session Cookie Configuration,,Medium,0.6000,6,10,0.3127,0.8318,0.9000,0.0000,0.9000,0.9000,HYP-002,no,0,10,0,1.0000
WebGoat_Web.config,inconsistent authorization policy for verbtamperingattack aspx|High,Inconsistent Authorization Policy for VerbTamperingAttack.aspx,,High,0.6000,6,10,0.3127,0.8318,0.9000,0.0000,0.9000,0.9000,HYP-003,no,0,10,0,1.0000
WebGoat_Web.config,debug mode enabled in production configuration|High,Debug Mode Enabled in Production Configuration,,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-004,yes,0,10,0,1.0000
WebGoat_Web.config,verbose logging enabled in production|Medium,Verbose Logging Enabled in Production,,Medium,1.0000,10,10,0.7225,1.0000,0.8600,0.0516,0.8000,0.9000,HYP-005,yes,0,10,0,1.0000
WebGoat_Web.config,insecure session cookie configuration|High,Insecure Session Cookie Configuration,,High,0.4000,4,10,0.1682,0.6873,0.9000,0.0000,0.9000,0.9000,HYP-002,no,0,10,0,1.0000
WebGoat_Web.config,inconsistent authorization controls on sensitive resource|High,Inconsistent Authorization Controls on Sensitive Resource,,High,0.4000,4,10,0.1682,0.6873,0.9000,0.0000,0.9000,0.9000,HYP-003,no,0,10,0,1.0000
WebGoat_Web.config,header injection vulnerability due to disabled header checking|High,Header Injection Vulnerability Due to Disabled Header Checking,,High,0.4000,4,10,0.1682,0.6873,0.9000,0.0000,0.9000,0.9000,HYP-006,no,0,10,0,1.0000
WebGoat_WebGoat.NET.csproj,debug mode enabled in msbuild configuration|High,Debug Mode Enabled in MSBuild Configuration,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-001,yes,0,10,0,1.0000
WebGoat_WebGoat.NET.csproj,unsafe code blocks enabled|Medium,Unsafe Code Blocks Enabled,,Medium,1.0000,10,10,0.7225,1.0000,0.8500,0.0000,0.8500,0.8500,HYP-002,yes,0,10,0,1.0000
WebGoat_WebGoat.NET.csproj,hardcoded environment variables for mono logging|Medium,Hardcoded Environment Variables for Mono Logging,,Medium,1.0000,10,10,0.7225,1.0000,0.7500,0.0000,0.7500,0.7500,HYP-003,yes,0,10,0,1.0000
WebGoat_dbtest.aspx.cs,missing authentication check on database reconfiguration|High,Missing Authentication Check on Database Reconfiguration,,High,1.0000,10,10,0.7225,1.0000,0.9300,0.0258,0.9000,0.9500,HYP-001,yes,0,10,0,1.0000
